platform_id	scope_id	scope_name	scope_type	scope_description	required_for_mvp	mvp_reason	danger_level	notes	source_urls
shopify	read_all_orders	Read all orders (incl. all statuses)	oauth_scope	Read all orders, including potentially all order states.	NO	Only needed if you truly need “all orders” access.	medium	Use read_orders if possible.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	write_app_proxy	Write app proxy	oauth_scope	Allows configuring / writing app proxy behavior.	NO	Not needed for standard commerce workflows.	medium	Edge-case for proxy-based apps.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_assigned_fulfillment_orders	Read assigned fulfillment orders	oauth_scope	Read fulfillment orders assigned to the app / service.	MAYBE	If you operate fulfillments.	medium	Depends on fulfillment setup.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	write_assigned_fulfillment_orders	Write assigned fulfillment orders	oauth_scope	Manage fulfillment orders assigned to the app / service.	MAYBE	If you create/close fulfillments.	high	Can alter fulfillment state.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_merchant_managed_fulfillment_orders	Read merchant-managed fulfillment orders	oauth_scope	Read merchant-managed fulfillment orders.	NO	Only for specific fulfillment flows.	medium	Depends on store ops.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	write_merchant_managed_fulfillment_orders	Write merchant-managed fulfillment orders	oauth_scope	Write merchant-managed fulfillment orders.	NO	Specialized.	high	Changes fulfillment ops.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_third_party_fulfillment_orders	Read 3P fulfillment orders	oauth_scope	Read third-party fulfillment orders.	NO	Specialized.	medium	For 3P fulfillment providers.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	write_third_party_fulfillment_orders	Write 3P fulfillment orders	oauth_scope	Write third-party fulfillment orders.	NO	Specialized.	high	Can change 3P fulfillment state.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_marketplace_fulfillment_orders	Read marketplace fulfillment orders	oauth_scope	Read marketplace fulfillment orders.	NO	Specialized.	medium	Marketplace-specific.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_cart_transforms	Read cart transforms	oauth_scope	Read cart transform configuration.	NO	Only if you manage cart transforms.	low	—	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	write_cart_transforms	Write cart transforms	oauth_scope	Create/update cart transform configuration.	NO	Only if you manage cart transforms.	high	Can affect checkout/cart behavior.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_checkout_branding_settings	Read checkout branding settings	oauth_scope	Read checkout branding settings.	NO	Branding-only.	low	—	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	write_checkout_branding_settings	Write checkout branding settings	oauth_scope	Update checkout branding settings.	NO	Branding-only.	medium	Changes storefront checkout appearance.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_content	Read content	oauth_scope	Read store content objects.	MAYBE	If you read pages/blogs/content.	low	—	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	write_content	Write content	oauth_scope	Create/update store content objects.	MAYBE	If you publish content.	high	Can publish/modify content.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_online_store_pages	Read online store pages	oauth_scope	Read online store pages.	NO	Optional content use-case.	low	—	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_customer_events	Read customer events	oauth_scope	Read customer events.	NO	Specialized analytics/events.	low	—	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	write_pixels	Write pixels	oauth_scope	Manage tracking pixels.	NO	Optional tracking integrations.	high	Privacy/tracking implications.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_customer_merge	Read customer merge	oauth_scope	Read customer merge data.	NO	Specialized.	low	—	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	write_customer_merge	Write customer merge	oauth_scope	Perform customer merges.	NO	Specialized.	high	Can merge identities/records.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_customer_payment_methods	Read customer payment methods	oauth_scope	Read customer payment methods.	NO	Rare/high-sensitivity.	high	Sensitive financial data.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_customers	Read customers	oauth_scope	Read customer profiles.	YES	Needed to view customers.	medium	PII access.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	write_customers	Write customers	oauth_scope	Create/update customers.	MAYBE	If you edit customers.	high	Can modify customer records.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_delivery_customizations	Read delivery customizations	oauth_scope	Read delivery customizations.	NO	Shipping customization only.	low	—	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	write_delivery_customizations	Write delivery customizations	oauth_scope	Manage delivery customizations.	NO	Shipping customization only.	high	Can alter delivery rules.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_discounts	Read discounts	oauth_scope	Read discount configurations.	MAYBE	If you display discounts.	medium	—	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	write_discounts	Write discounts	oauth_scope	Create/update discounts.	MAYBE	If you manage promos.	high	Can change pricing/promotions.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_draft_orders	Read draft orders	oauth_scope	Read draft orders.	NO	Optional (B2B/manual invoicing).	medium	—	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	write_draft_orders	Write draft orders	oauth_scope	Create/update draft orders.	NO	Optional.	high	Can create orders.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_files	Read files	oauth_scope	Read file objects.	MAYBE	If you use media/files.	low	—	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	write_files	Write files	oauth_scope	Upload/manage files.	MAYBE	If you upload assets.	medium	Can add/modify files.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_fulfillments	Read fulfillments	oauth_scope	Read fulfillment records.	YES	If you track shipments/fulfillment status.	medium	—	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	write_fulfillments	Write fulfillments	oauth_scope	Create/update fulfillments.	MAYBE	If you fulfill orders.	high	Can mark items fulfilled.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_gift_cards	Read gift cards	oauth_scope	Read gift cards.	NO	Optional.	high	Financial value instruments.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	write_gift_cards	Write gift cards	oauth_scope	Create/update gift cards.	NO	Optional.	high	Can create value.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_inventory	Read inventory	oauth_scope	Read inventory levels/items.	YES	Core commerce inventory visibility.	medium	—	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	write_inventory	Write inventory	oauth_scope	Adjust inventory.	MAYBE	If you sync stock.	high	Can change sellable quantities.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_legal_policies	Read legal policies	oauth_scope	Read shop legal policies.	NO	Rare.	low	—	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_locales	Read locales	oauth_scope	Read locales.	NO	Optional localization.	low	—	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	write_locales	Write locales	oauth_scope	Manage locales.	NO	Optional localization.	medium	Can change localization settings.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
